id,stimulus_id,image_name,country,vehicle,ehmi,distance
55,Bus_20m_GX010158_2-03_v1_RedBar,image_55,INDIA,Bus,RedBar,20
56,Bus_20m_GX010158_2-03_v1_Rukiye,image_56,INDIA,Bus,Rukiye,20
57,Bus_20m_GX010158_2-03_v1_STOP,image_57,INDIA,Bus,Stop,20
58,Bus_20m_GX010158_2-03_v1_SymbolGreen,image_58,INDIA,Bus,SymbolGreen,20
59,Bus_20m_GX010158_2-03_v1_SymbolRed,image_59,INDIA,Bus,SymbolRed,20
60,Bus_20m_GX010158_2-03_v1_Walk,image_60,INDIA,Bus,Walk,20
61,4W_10m_GX010158_2-46_v2_GREEN BAR,image_61,INDIA,Car,GreenBar,10
62,4W_10m_GX010158_2-46_v2_RED BAR,image_62,INDIA,Car,RedBar,10
63,4W_20m_GX010158_2-46_v2_greenBar,image_63,INDIA,Car,GreenBar,20
64,4W_20m_GX010158_2-46_v2_RedBar,image_64,INDIA,Car,RedBar,20
65,MiniTruck_10m_GX010158_7-22_GreenBar,image_65,INDIA,Truck,GreenBar,10
66,MiniTruck_10m_GX010158_7-22_RedBar,image_66,INDIA,Truck,RedBar,10
67,MiniTruck_20m_GX010158_7-22_GreenBar,image_67,INDIA,Truck,GreenBar,20
68,MiniTruck_20m_GX010158_7-22_RedBar,image_68,INDIA,Truck,RedBar,20
69,TT_10m_GX010158_1-34_v1_GreenBar,image_69,INDIA,Tuk_Tuk,GreenBar,10
70,TT_10m_GX010158_1-34_v1_RedBar,image_70,INDIA,Tuk_Tuk,RedBar,10
71,TT_20m_GX010158_1-34_v1_GreenBar,image_71,INDIA,Tuk_Tuk,GreenBar,20
72,TT_20m_GX010158_1-34_v1_RedBar,image_72,INDIA,Tuk_Tuk,RedBar,20
73,NL_Bus3_10m,image_73,Netherlands,Bus,Base,10
74,NL_Bus3_10m_Green_Symbol,image_74,Netherlands,Bus,SymbolGreen,10
75,NL_Bus3_10m_GreenBar,image_75,Netherlands,Bus,GreenBar,10
76,NL_Bus3_10m_LOPEN,image_76,Netherlands,Bus,Lopen,10
77,NL_Bus3_10m_Red_Symbol,image_77,Netherlands,Bus,SymbolRed,10
78,NL_Bus3_10m_RedBar,image_78,Netherlands,Bus,RedBar,10
79,NL_Bus3_10m_Stop,image_79,Netherlands,Bus,Stop,10
80,NL_Bus3_10m_WALK,image_80,Netherlands,Bus,Walk,10
81,NL_Bus3_20m,image_81,Netherlands,Bus,Base,20
82,NL_Bus3_20m_Green_Symbol,image_82,Netherlands,Bus,SymbolGreen,20
83,NL_Bus3_20m_GreenBar,image_83,Netherlands,Bus,GreenBar,20
84,NL_Bus3_20m_LOPEN,image_84,Netherlands,Bus,Lopen,20
85,NL_Bus3_20m_Red_Symbol,image_85,Netherlands,Bus,SymbolRed,20
86,NL_Bus3_20m_RedBar,image_86,Netherlands,Bus,RedBar,20
87,NL_Bus3_20m_Stop,image_87,Netherlands,Bus,Stop,20
88,NL_Bus3_20m_WALK,image_88,Netherlands,Bus,Walk,20
89,NL_Car2_10m,image_89,Netherlands,Car,Base,10
90,NL_Car2_10m_GreenBar,image_90,Netherlands,Car,GreenBar,10
91,NL_Car2_10m_GreenSymbol,image_91,Netherlands,Car,SymbolGreen,10
92,NL_Car2_10m_LOPEN,image_92,Netherlands,Car,Lopen,10
